,star_id,observation_id,counts,teff,teff_err,logg,logg_err,fe,fe_err,vsini,vsini_err,logrhk,jd,bjd,bary_vel,hour_angle,observation_type,hjd,id,observation_id.1,MES,toi,tic,ra,dec,vmag,Rs,smass,Rp,ruwe,evol
49,WASP156,j353.84,10348.0,5032.87570126,100.0,4.419534270580000,0.1,0.296542071977,0.06,2.58414143072,,-5.1659016767974700,2458809.015648,2458809.02144974,-14236.001,3.84,t,2458809.020643,928876,1279734,34.8,465.01,270380593,32.7818,2.418,11.559,0.85,0.81,5.64,1.1,MS
10,63935,j351.155,251140.0,5534.91786322,100.0,4.37963606329,0.1,0.0891766025999,0.06,0.29239205329,,-5.03680792853644,2458795.045023,2458795.04745805,28360.624,-2.049,t,2458795.046611,928512,1279504,19.8,509.01,453211454,117.925,9.3861,8.58,0.96,0.98,3.07,1.07,MS
16,T001173,j357.149,10144.0,5352.45282482,100.0,4.3751245128100000,0.1,0.190480474428,0.06,1.1534074637,,-5.31698320112962,2458833.164144,2458833.16635067,10497.095,-2.003,t,2458833.16553,929219,1279909,126.1,1173.01,232967440,197.6823,70.7684,11.038,0.96,0.92,9.22,0.87,MS
17,T001174,j363.557,5132.0,5124.34113382,100.0,4.69341755934,0.1,0.00760082109208,0.06,2.22540756879,,-4.842770506438,2458881.09419,2458881.09709374,3123.943,-1.301,t,2458881.096276,929889,1334577,16.2,1174.01,154089169,209.2181,68.618,10.964,0.76,0.85,2.31,1.01,MS
18,T001180,j366.489,10180.0,4790.50590113,100.0,4.61954804137,0.1,-0.0170522501978,0.06,2.59936982164,,-4.84846700201018,2458919.04338,2458919.04514709,-8887.377,-0.383,t,2458919.044329,930669,1391689,28.8,1180.01,158002130,214.5531,82.194,11.017,0.73,0.75,2.85,1.1,MS
19,T001194,j363.524,250012.0,5420.31996931,100.0,4.35800446079,0.1,0.326723989809,0.06,0.22849335537,,-5.04444191716865,2458880.954468,2458880.95843238,-1100.479,-1.904,t,2458880.957604,929857,1334573,130.0,1194.01,147950620,167.8205,69.9647,11.302,0.99,0.92,8.86,1.09,MS
20,T001235,j363.298,50024.0,4444.73247174,100.0,4.531261806630000,0.1,-0.443866822391,0.06,3.09558493019,,-4.93648729384628,2458879.9098610000,2458879.91411056,-2923.836,-2.003,t,2458879.91328,929790,1334269,15.6,1235.01,103633434,152.2159,69.2765,11.495,0.63,0.61,2.12,1.05,MS
21,T001244,j354.70,10016.0,4675.47032265,100.0,4.5641669486400000,0.1,-0.07412932357340000,0.06,3.04551328185,,-4.908528313359500,2458815.704109,2458815.70503175,2889.646,5.903,t,2458815.704226,928927,1279770,19.3,1244.01,219850915,256.2803,69.5194,11.929,0.72,0.73,2.39,0.87,MS
22,T001246,j371.291,204332.0,5151.90646973,100.0,4.3990136929500000,0.1,0.165160990413,0.06,0.0919737488739,,-5.12248618391819,2459011.917187,2459011.91761209,-3552.771,0.254,t,2459011.916805,931604,1397157,20.0,1246.01,230127302,251.1165,70.4296,11.632,0.88,0.87,3.33,0.93,MS
2,135694,j366.290,251152.0,5645.9066905,100.0,4.2961189488200000,0.1,-0.14077133175200000,0.06,1.4592157167E-07,,-4.77818339698348,2458918.048681,2458918.05085085,-3548.475,-1.209,t,2458918.050037,930611,1391639,25.5,1247.01,232540264,227.8705,71.84100000000000,9.08,1.08,1.02,2.8,1.08,MS
23,T001248,j354.72,10012.0,5272.90555477,100.0,4.43923338084,0.1,0.229192755477,0.06,2.26628011532,,-4.93231326838311,2458815.709734,2458815.71005678,1536.681,5.855,t,2458815.7092560000,928929,1279772,105.1,1248.01,232612416,259.0236,63.106,11.806,0.87,0.89,6.62,0.97,MS
24,T001249,j357.147,10140.0,5514.18144525,100.0,4.3595316144,0.1,0.29599789315200000,0.06,1.4798257333000000,,-5.12782614585331,2458833.16206,2458833.16394666,12228.14,-2.245,t,2458833.163128,929217,1279907,14.9,1249.01,232976128,200.5617,66.3087,11.089,1.0,0.95,3.15,0.96,MS
15,HIP97166,j375.107,250416.0,5192.23154945,100.0,4.42784650835,0.1,0.262642558685,0.06,3.23832948812E-07,,-5.00966756102516,2459027.991435,2459027.99139969,4009.97,0.083,t,2459027.990596,931964,1397879,26.0,1255.01,237222864,296.2443,74.0627,9.92,0.87,0.86,2.7,1.1,MS
25,T001269,j354.65,10052.0,5466.69629136,100.0,4.56726421651,0.1,-0.0519472552842,0.06,1.31005397953,,-5.32755054082091,2458815.688762,2458815.68915704,3801.461,5.972,t,2458815.688353,928922,1279765,18.9,1269.01,198241702,249.6971,64.5587,11.618,0.85,0.97,2.38,0.79,MS
26,T001272,j371.290,125040.0,5086.35092982,100.0,4.54929197618,0.1,0.202414638804,0.06,0.630335493683,,-4.762299160986850,2459011.890856,2459011.89162639,-18329.276,3.0810000000000000,t,2459011.890803,931603,1397167,27.2,1272.01,417948359,199.1966,49.861,11.758,0.81,0.82,4.29,0.92,MS
27,T001279,j357.345,250272.0,5410.57827216,100.0,4.53047974648,0.1,-0.103789430511,0.06,0.129765363422,,-5.07471689387517,2458834.129375,2458834.1314892,17661.561,-1.933,t,2458834.130664,929312,1279750,13.1,1279.01,224297258,185.0639,56.2011,10.714,0.84,0.96,2.58,0.89,MS
28,T001288,j358.279,250012.0,5319.44767692,100.0,4.270400747130000,0.1,0.234198617695,0.06,4.10829176056E-07,,-4.91786037312088,2458844.740289,2458844.74143683,-8924.853000000000,4.886,t,2458844.740639,929353,1279813,57.2,1288.01,365733349,313.1666,65.6091,10.445,0.92,1.18,4.73,1.06,MS
6,191939,j356.68,251108.0,5348.37046803,100.0,4.30588153492,0.1,-0.144021197455,0.06,0.06901440666340000,,-5.11866959471092,2458827.761007,2458827.76239343,-5954.637,5.011,t,2458827.761594,929058,1279653,58.3,1339.01,269701147,302.024,66.8506,8.97,0.92,0.95,3.2,1.12,MS
29,T001410,j362.183,223132.0,4659.68230933,100.0,4.44208404794,0.1,0.135198331179,0.06,1.5544655801700000,,-4.8752171603703300,2458870.74213,2458870.7408545,-17332.754,5.191,t,2458870.740069,929676,1334084,18.1,1410.01,199444169,334.8832,42.5603,11.111,0.78,0.71,2.94,1.0,MS
13,GJ9522A,j374.276,250004.0,4475.55899772,100.0,4.59627966406,0.1,-0.17541326539300000,0.06,2.45816857877,,-4.74371541040412,2459025.815301,2459025.81715772,-12391.476,-0.067,t,2459025.816352,931880,1397740,13.0,1411.01,116483514,232.9451,47.0568,10.51,0.69,0.65,1.37,1.0,MS
14,HIP70705,j366.482,250280.0,5010.73184405,100.0,4.5265975061,0.1,0.121858092009,0.06,0.500435301499,,-4.95464898946597,2458919.022303,2458919.02633142,7669.641,-1.048,t,2458919.025521,930662,1391682,14.6,1416.01,158025009,216.924,41.9534,9.91,0.8,0.81,1.77,1.12,MS
30,T001422,j363.270,250096.0,5822.89103753,100.0,4.3689838006,0.1,-0.0455078851726,0.06,0.818310260431,,-5.11261737293613,2458879.736528,2458879.7352769,-21592.054,4.357,t,2458879.734486,929763,1334267,18.9,1422.01,333473672,354.2412,39.6394,10.622,1.01,1.08,3.09,1.03,MS
0,102121,j357.342,251324.0,5317.57350613,100.0,4.744506880010000,0.1,-0.194173070419,0.06,0.24118042239,,-4.7764391289659300,2458834.111296,2458834.11406174,13682.345,-1.789,t,2458834.113236,929309,1279831,14.7,1434.01,138588540,176.3806,65.541,8.78,0.74,0.94,2.03,0.96,MS
31,T001438,j354.77,10120.0,5234.39920607,100.0,4.53369674604,0.1,0.0960910148552,0.06,2.22059230746,,-4.923678456628770,2458815.7213540000,2458815.72305422,383.194,4.675,t,2458815.722248,928934,1279777,15.4,1438.01,229650439,280.9243,74.9376,10.957,0.82,0.9,2.81,0.84,MS
32,T001443,j355.75,10016.0,5160.47640654,100.0,4.655384461640000,0.1,-0.285879557508,0.06,0.7843119323920000,,-5.3511529628654000,2458819.716157,2458819.71820283,-1237.318,3.714,t,2458819.717396,928973,1279797,18.2,1443.01,237232044,297.4003,76.1391,10.675,0.75,0.89,2.07,1.14,MS
33,T001444,j355.82,10012.0,5466.01265057,100.0,4.44760017071,0.1,0.138994422926,0.06,0.944480420892,,-5.30091003291971,2458819.733542,2458819.73542716,-4128.095,3.594,t,2458819.7346240000,928980,1279820,13.2,1444.01,258514800,305.4743,70.9438,10.936,0.92,0.96,1.29,0.94,MS
34,T001451,j357.343,250336.0,5731.09577663,100.0,4.33476891955,0.1,-0.00757722906259,0.06,0.364064303092,,-5.0212423958537,2458834.11559,2458834.11782142,15405.778,-2.362,t,2458834.116998,929310,1279745,16.2,1451.01,417931607,186.5243,61.25900000000000,9.584,1.03,1.04,2.46,1.08,MS
8,219134,j08.870,509948.0,4857.3077404,100.0,4.49486754658,0.1,0.12341903352,0.06,0.000351950215791,,-4.88022792150454,2453549.075903,2453549.07561825,16249.034,-1.38,t,,838656,1201265,15.8,1469.01,283722336,348.3207,57.1684,5.569,0.75,0.8,1.29,1.09,MS
1,12572,j363.80,250408.0,5599.983059100000,100.0,4.39508566421,0.1,-0.028462405534200000,0.06,1.27409330748E-06,,-5.14995061532835,2458878.797442,2458878.79790999,-30210.083,3.313,t,2458878.797103,929723,1334223,17.0,1471.01,306263608,30.9043,21.2809,9.2,0.97,1.0,4.28,1.15,MS
35,T001472,j356.77,10192.0,5189.17242523,100.0,4.51285596089,0.1,0.289606258782,0.06,1.27489002817,,-5.00237346346338,2458827.785463,2458827.78953052,-16222.106000000000,0.7930000000000000,t,2458827.788724,929066,1279872,12.0,1472.01,306955329,14.1136,48.6376,11.302,0.86,0.86,4.31,1.01,MS
7,207897,j21.1577,500716.0,5080.7040943,100.0,4.57757657405,0.1,-0.052386644188400000,0.06,0.0737638786466,,-4.8566052304909300,2453964.0608220000,2453964.06076698,9569.109,-20.931,t,,844544,1233285,29.3,1611.01,264678534,325.1866,84.3335,8.37,0.78,0.85,2.72,0.98,MS
36,T001669,j365.274,10264.0,5551.99605162,100.0,4.29379323876,0.1,0.26657692591,0.06,0.94641926245,,-5.127300513071730,2458904.738322,2458904.73983451,-13812.882,2.596,t,2458904.739015,930253,1335665,13.1,1669.01,428679607,45.9529,83.5876,10.218,1.07,0.98,2.25,0.91,MS
37,T001691,j366.506,10048.0,5689.25999114,100.0,4.390576739120000,0.1,0.0509583127454,0.06,1.04925600629,,-100.0,2458919.124259,2458919.12539934,-10215.54,-2.293,t,2458919.124584,930686,1391701,23.0,1691.01,268334473,272.4061,86.8596,10.134,1.0,1.03,3.75,1.23,MS
38,T001694,j363.517,10108.0,5069.58469635,100.0,4.53727498054,0.1,0.12597579487300000,0.06,1.9070606404,,-5.7849203327500400,2458880.92963,2458880.93376313,-13406.222,2.17,t,2458880.932929,929903,1334583,43.6,1694.01,396740648,97.7482,66.3607,11.446,0.82,0.84,5.48,1.12,MS
39,T001706,j365.1279,10068.0,5676.53176097,100.0,4.4661663460300000,0.1,0.18732091391,0.06,1.69949510778,,-5.107664105461020,2458913.138241,2458913.13817043,1763.22,-3.204,t,2458913.137376,930491,1336075,12.2,1706.01,230377505,285.2057,60.2339,11.077,0.97,0.99,1.81,0.95,MS
40,T001710,j365.71,10004.0,5734.02258664,100.0,4.47888762961,0.1,0.157755676009,0.06,2.05274690262,,-6.07635412821173,2458903.7779860000,2458903.78037347,-16138.28,0.263,t,2458903.779546,930202,1335578,55.3,1710.01,445805961,94.2828,76.2108,9.545,0.98,1.01,5.41,1.01,MS
9,237566,j365.303,10104.0,5861.42458513,100.0,4.22768946877,0.1,0.0830956649712,0.06,2.3144025701900000,,-5.555121676514,2458904.879039,2458904.88252635,-20662.99,2.04,t,2458904.881687,930259,1335671,12.3,1716.01,14336130,105.0829,56.8244,9.406,1.24,1.06,2.74,1.01,MS
41,T001723,j365.299,10752.0,5800.99311241,100.0,4.37573362036,0.1,0.17049271625300000,0.06,1.62319572619,,-5.582040059973770,2458904.868646,2458904.87190543,-16266.497,1.009,t,2458904.871072,930255,1335667,13.5,1723.01,71431780,116.7971,68.4766,9.664,1.09,1.03,3.16,0.92,MS
5,156141,j371.99,250276.0,5732.26749403,100.0,4.2061353428600000,0.1,0.182520554155,0.06,0.699387546001,,-5.216217239693750,2459010.945023,2459010.94532718,-2516.868,0.444,t,2459010.94452,931540,1397096,21.4,1742.01,219857012,257.3285,71.8764,8.863,1.16,1.02,2.2,1.0,MS
42,T001753,j366.499,10108.0,5620.16075133,100.0,4.40536816638,0.1,0.0343757410376,0.06,1.2457392236,,-5.11549404484858,2458919.071227,2458919.0727778,3094.816,-2.24,t,2458919.071976,930679,1391697,13.3,1753.01,289580577,252.4698,61.1735,11.831,0.96,1.01,2.96,0.88,MS
43,T001758,j375.515,10072.0,5142.92242869,100.0,4.552188505300000,0.1,-0.0242950608966,0.06,0.585159198418,,-5.21689382420917,2459030.1105790000,2459030.10946937,8644.284,-0.818,t,2459030.108661,932102,1406594,12.7,1758.01,367858035,354.74300000000000,75.6851,10.794,0.81,0.88,3.38,0.93,MS
44,T001759,j374.108,10100.0,4420.71151776,100.0,4.51125390939,0.1,-0.401970146083,0.06,3.69277063546,,-100.0,2459025.046424,2459025.04661782,11452.234,-0.831,t,2459025.045823,931838,1397669,23.3,1759.01,408636441,326.8533,62.7539,11.93,0.63,0.61,3.23,0.93,MS
11,75732,j06.1091,517388.0,5364.11713991,100.0,4.31338354839,0.1,0.423351444275,0.06,0.169290994631,,-4.93969422944846,2453427.933576,2453427.93917025,-14632.486,1.589,t,,837603,1226971,31.0,1773.01,332064670,133.1492,28.3308,5.9510000000000000,0.96,0.9,1.8,0.99,MS
45,T001775,j367.86,10084.0,5349.82734071,100.0,4.6430932886,0.1,0.197905365627,0.06,2.60608120698,,-100.0,2458995.801493,2458995.80076086,-25652.305,3.152,t,2458995.799916,930719,1392676,29.1,1775.01,9348006,150.1151,39.4578,11.648,0.84,0.9,8.07,1.05,MS
46,T001794,j367.91,10040.0,5663.30539357,100.0,4.14480443875,0.1,0.0351767408041,0.06,1.34238498886,,-100.0,2458995.810556,2458995.81252304,-16731.931,-0.182,t,2458995.811701,930724,1392681,14.3,1794.01,286916251,203.3977,49.0611,10.32,1.3,1.02,3.03,0.96,MS
48,TIC142381532,j374.81,232228.0,4889.02356727,100.0,4.41969744299,0.1,0.270436598065,0.06,0.8551170128130000,,-5.01330257651151,2459024.808275,2459024.80754259,-12175.06,2.147,t,2459024.806719,931812,1397657,81.3,1823.01,142381532,196.2204,63.7538,10.728,0.82,0.77,8.14,1.08,MS
47,T001824,j377.680,250288.0,5216.68101754,100.0,4.561696022,0.1,0.119126752349,0.06,0.248572293473,,-4.75619360933176,2459041.794236,2459041.79298136,-10493.263,2.825,t,2459041.792158,932644,1411164,13.2,1824.01,142387023,197.7312,61.7448,9.721,0.82,0.88,2.4,0.99,MS