SC1A,SC1B,SC1C,SC1D,SC1E,SC2A,SC2Bi,SC2Bii,SC2C,SC3,SC4,TOA,TOB
1347.01,-,1436.01,2088.01,1436.01,1469.01,1255.01,1726.02,-,1339.01,480.01,-,1436.01
-,-,1798.01,-,2088.01,1773.01,1272.01,1905.01,-,1410.01,-,-,1136.01
-,-,1444.01,-,1801.01,1611.01,1184.01,-,-,509.01,-,-,260.01
-,-,-,-,1467.01,509.01,1347.01,-,-,554.01,-,-,1807.01
-,-,-,-,2013.01,1435.01,1386.01,-,-,469.01,-,-,1247.01
-,-,-,-,1450.01,1742.01,-,-,-,1471.01,-,-,1473.01
-,-,-,-,-,1339.01,-,-,-,1430.01,-,-,1726.01
-,-,-,-,-,1247.01,-,-,-,1473.01,-,-,-
-,-,-,-,-,1437.01,-,-,-,1736.01,-,-,-
-,-,-,-,-,1797.01,-,-,-,561.02,-,-,-
-,-,-,-,-,1471.01,-,-,-,1136.03,-,-,-
-,-,-,-,-,1751.01,-,-,-,669.01,-,-,-
-,-,-,-,-,1716.01,-,-,-,1759.01,-,-,-
-,-,-,-,-,1710.01,-,-,-,1247.01,-,-,-
-,-,-,-,-,1451.01,-,-,-,266.01,-,-,-
-,-,-,-,-,1723.01,-,-,-,-,-,-,-
-,-,-,-,-,1824.01,-,-,-,-,-,-,-
-,-,-,-,-,1416.01,-,-,-,-,-,-,-
-,-,-,-,-,1255.01,-,-,-,-,-,-,-
-,-,-,-,-,1691.01,-,-,-,-,-,-,-
-,-,-,-,-,1669.01,-,-,-,-,-,-,-
-,-,-,-,-,1794.01,-,-,-,-,-,-,-
-,-,-,-,-,1288.01,-,-,-,-,-,-,-
-,-,-,-,-,1411.01,-,-,-,-,-,-,-
-,-,-,-,-,1422.01,-,-,-,-,-,-,-
-,-,-,-,-,1443.01,-,-,-,-,-,-,-
-,-,-,-,-,1279.01,-,-,-,-,-,-,-
-,-,-,-,-,1823.01,-,-,-,-,-,-,-
-,-,-,-,-,1758.01,-,-,-,-,-,-,-
-,-,-,-,-,1444.01,-,-,-,-,-,-,-
-,-,-,-,-,1438.01,-,-,-,-,-,-,-
-,-,-,-,-,1174.01,-,-,-,-,-,-,-
-,-,-,-,-,1180.01,-,-,-,-,-,-,-
-,-,-,-,-,1173.01,-,-,-,-,-,-,-
-,-,-,-,-,1706.01,-,-,-,-,-,-,-
-,-,-,-,-,1249.01,-,-,-,-,-,-,-
-,-,-,-,-,1410.01,-,-,-,-,-,-,-
-,-,-,-,-,1194.01,-,-,-,-,-,-,-
-,-,-,-,-,1472.01,-,-,-,-,-,-,-
-,-,-,-,-,1694.01,-,-,-,-,-,-,-
-,-,-,-,-,1235.01,-,-,-,-,-,-,-
-,-,-,-,-,465.01,-,-,-,-,-,-,-
-,-,-,-,-,1269.01,-,-,-,-,-,-,-
-,-,-,-,-,1246.01,-,-,-,-,-,-,-
-,-,-,-,-,1775.01,-,-,-,-,-,-,-
-,-,-,-,-,1272.01,-,-,-,-,-,-,-
-,-,-,-,-,1248.01,-,-,-,-,-,-,-
-,-,-,-,-,1753.01,-,-,-,-,-,-,-
-,-,-,-,-,1244.01,-,-,-,-,-,-,-
-,-,-,-,-,1759.01,-,-,-,-,-,-,-