name,full_toi_id,rp_rs-mod,rp_rs_err1-mod,rp_rs_err2-mod
12572,1471.01,0.03886,-0.00087,0.001178
135694,1247.01,0.021835,-0.00045,0.000532
135694,,,,
148193,1836.01,0.044926,-0.00053,0.000614
149026,2024.01,0.050928,-0.00038,0.000371
154840,1437.01,,,
156141,1742.01,0.018341,-0.00044,0.000878
158259,,,,
158259,,,,
158259,,,,
158259,,,,
158259,,,,
17156,1573.01,,,
191939,1339.01,,,
191939,1339.02,,,
191939,1339.03,,,
191939,,,,
207897,1611.01,0.029403,-0.00053,0.000482
219134,1469.01,,,
219134,1469.02,,,
219134,,,,
219134,,,,
219134,,,,
219134,,,,
235088,1430.01,,,
25463,554.01,,,
332231,,,,
39688,480.01,,,
42813,469.01,,,
6061,1473.01,0.021468,-0.00077,0.000785
63433,1726.01,,,
63433,1726.02,,,
63935,,,,
63935,,,,
63935,,,,
75732,,,,
75732,,,,
75732,,,,
75732,1773.01,,,
75732,,,,
77946,1778.01,0.019171,-0.00084,0.000853
83342,,,,
93396,664.01,,,
95072,1776.01,0.01342,-0.00069,0.000737
95072,,,,
96735,1799.01,0.0149,-0.00112,0.001116
97658,1821.01,0.027616,-0.00042,0.000415
GJ3193,455.01,,,
GJ9522A,1411.01,,,
GL357,562.01,,,
GL357,,,,
GL357,,,,
HIP1532,260.01,0.023838,-0.00121,0.001229
HIP26013,431.01,,,
HIP26013,431.02,,,
HIP8152,266.01,,,
HIP8152,,,,
HIP86040,2145.01,0.04165,-0.00043,0.000453
HIP97166,1255.01,0.029734,-0.00075,0.000761
HIP97166,,,,
HTR145-001,1419.01,0.106941,-0.00146,0.001295
HTR155-001,1144.01,,,
HTR248-002,,,,
HTR248-002,1283.01,0.12486,-0.00122,0.001075
K00244,,,,
K00244,1237.01,0.033744,-0.00272,0.002547
K00244,,,,
T000329,329.01,,,
T000421,421.01,,,
T000421,,,,
T000442,442.01,,,
T000561,561.01,,,
T000561,561.02,,,
T000561,561.03,,,
T000669,669.01,,,
T000669,,,,
T000849,849.01,,,
T001136,1136.01,,,
T001136,1136.02,,,
T001136,1136.03,,,
T001136,1136.04,,,
T001136,,,,
T001181,1181.01,0.076597,-0.00032,0.000361
T001181,,,,
T001184,1184.01,0.030632,-0.00064,0.000758
T001194,1194.01,0.083437,-0.00106,0.00098
T001235,1235.01,0.026011,-0.00086,0.001174
T001246,1246.01,,,
T001246,1246.02,,,
T001246,1246.03,,,
T001246,1246.04,,,
T001249,1249.01,0.029913,-0.00117,0.001045
T001272,1272.01,0.047128,-0.00112,0.001279
T001272,,,,
T001272,,,,
T001279,1279.01,,,
T001288,1288.01,0.048891,-0.0006,0.000761
T001288,,,,
T001294,1294.01,,,
T001296,1296.01,0.076725,-0.00051,0.000657
T001298,1298.01,0.062576,-0.0007,0.000698
T001347,1347.01,,,
T001347,1347.02,,,
T001386,1386.01,,,
T001386,,,,
T001410,1410.01,0.036272,-0.00109,0.001259
T001410,,,,
T001410,,,,
T001422,1422.01,,,
T001439,1439.01,,,
T001444,1444.01,,,
T001444,,,,
T001451,1451.01,0.02342,-0.00079,0.000895
T001467,1467.01,,,
T001472,1472.01,0.044611,-0.00166,0.001806
T001601,1601.01,,,
T001691,1691.01,0.032528,-0.00063,0.000945
T001694,1694.01,0.061864,-0.0009,0.00111
T001736,1736.01,0.020016,-0.0005,0.000785
T001736,,,,
T001758,1758.01,0.04105,-0.00105,0.001009
T001759,1759.01,0.04939,-0.00102,0.001191
T001794,1794.01,0.022954,-0.00081,0.000796
T001798,1798.01,,,
T001798,1798.02,,,
T001824,1824.01,0.030175,-0.0008,0.000871
T001842,1842.01,0.055914,-0.00076,0.000758
T002019,2019.01,0.02383,-0.00167,0.001674
T002045,2045.01,,,
T002076,2076.01,,,
T002114,2114.01,,,
TIC142381532,1823.01,0.086196,-0.00106,0.001455